"course_id","course_code","course_name","credits_need","grade","Option 1","Option 2","Option 3","Option 4","Option 5","Option 6","Option 7","Option 8","Must have Option 1","Must have Option 2","Must have Option 3","Must have Option 4","Except 1","Except 2"
"1","Philosophy Course","Any PHIL course","6","C-","PHIL XXX","","","","","","","","","","","","",""
"3","Religious studies Course","Any REL course","6","C-","REL XXX","","","","","","","","","","","","",""
"5","Advanced Courses","PHIL/REL 3XX+","12","C-","PHIL 3XX","PHIL 4XX","REL 3XX","REL 4XX","","","","","","","","","",""
"4","Electives","Any PHIL/REL course","12","C-","PHIL XXX","REL XXX","","","","","","","","","","","",""
"6","","","","","","","","","","","","","","","","","",""
"7","","","","","","","","","","","","","","","","","",""
"8","","","","","","","","","","","","","","","","","",""
"9","","","","","","","","","","","","","","","","","",""
"10","","","","","","","","","","","","","","","","","",""
"11","","","","","","","","","","","","","","","","","",""
"12","","","","","","","","","","","","","","","","","",""
"13","","","","","","","","","","","","","","","","","",""
"14","","","","","","","","","","","","","","","","","",""
"15","","","","","","","","","","","","","","","","","",""
"16","","","","","","","","","","","","","","","","","",""
"19","","","","","","","","","","","","","","","","","",""
"20","","","","","","","","","","","","","","","","","",""
"17","","","","","","","","","","","","","","","","","",""
"18","","","","","","","","","","","","","","","","","",""
"21","","","","","","","","","","","","","","","","","",""
